#event_id,pid,pt [GeV],eta,phi,E [GeV],mass [GeV],v_true
63,90,349.526,-0.833367,-0.556717,499.452,144.512,0
63,11,124.127,-0.839899,2.6368,170.543,0.000511,0
64,90,251.655,-1.73342,1.88996,735.158,33.0519,0
64,13,46.8351,-0.279689,-2.58559,48.6791,0.10566,0
65,90,264.703,0.687888,-0.630572,341.183,87.2453,1
65,13,161.879,1.40836,2.74424,350.773,0.10566,0
66,90,332.729,1.43722,0.266036,756.303,157.362,0
66,90,279.334,0.682968,-3.10103,347.053,0.00051099,0
66,11,279.334,0.682968,-3.10103,347.053,0.000511,0
67,90,306.511,0.734662,2.18239,393.495,19.4193,1
67,90,390.38,-0.399382,-2.10384,422.177,14.42,0
67,13,157.818,2.05351,-0.0562841,625.235,0.10566,0
68,90,278.2,0.0698147,-2.81776,303.487,119.713,0
68,13,84.53,-1.31427,0.525879,168.667,0.10566,0
69,90,318.786,1.06072,1.4209,523.9,92.9886,1
69,11,232.65,-1.17608,-1.57169,412.968,0.000511,0
70,90,308.986,0.360872,-2.05991,334.103,56.3038,0
70,11,279.778,0.296633,-2.04491,292.178,0.000511,0
71,90,554.012,1.36386,-1.56999,1156.52,72.0827,0
71,90,563.076,0.438239,1.61008,624.275,88.1665,1
71,13,36.5283,1.39289,2.84548,78.0765,0.10566,0
72,90,280.902,-1.77394,-0.787573,857.713,101.778,0
72,11,26.4095,-1.37364,3.13,55.4983,0.000511,0
73,90,271.328,0.104635,2.98789,311.7,150.761,1
73,11,43.0447,0.0269144,2.56665,43.0602,0.000511,0
74,90,303.368,-0.356431,-0.157484,335.477,91.199,1
74,11,122.002,-2.19634,3.03365,555.305,0.000511,0
75,90,254.254,0.686607,0.907182,316.577,0.000510988,0
75,11,254.254,0.686607,0.907182,316.577,0.000511,0
76,90,251.878,-0.858737,1.82897,352.604,37.5586,1
76,13,106.544,-1.53961,-1.64215,259.82,0.10566,0
77,90,601.545,1.28341,-0.484684,1174.15,111.88,0
77,13,43.7065,0.253453,2.79264,45.118,0.10566,0
78,90,384.971,0.431511,-2.58673,421.505,10.61,1
78,13,78.4337,-1.30292,0.595426,154.976,0.10566,0
79,90,337.702,0.206315,0.967666,353.406,77.002,1
79,13,147.258,1.33333,-2.40791,298.733,0.10566,0
80,90,260.944,0.717393,-2.82288,342.375,87.4363,1
80,11,42.8696,0.151645,0.187271,43.3635,0.000511,0
81,90,379.036,0.851666,2.60984,528.558,61.117,1
81,13,273.963,0.164036,-0.409064,277.657,0.10566,0
82,90,462.27,0.199492,-0.904869,472.405,29.2439,0
82,13,302.591,0.24019,1.76979,311.361,0.10566,0
83,90,362.268,-0.332411,2.1228,400.214,117.854,1
83,11,159.146,0.448732,-0.750091,175.439,0.000511,0
84,90,516.755,-1.37796,-2.29657,1093.52,86.8249,1
84,11,34.2389,1.2957,-2.49201,67.2324,0.000511,0
85,90,277.92,0.193725,-1.21372,283.152,0.000510999,0
85,11,277.92,0.193725,-1.21372,283.152,0.000511,0
86,90,302.127,0.894029,0.211481,431.129,0.00127266,0
86,90,541.179,-0.606799,-2.76763,646.651,59.5209,1
86,11,299.691,0.894029,0.211481,427.654,0.000511,0
87,90,266.667,1.02358,1.57474,418.995,0.000511003,0
87,11,266.667,1.02358,1.57474,418.995,0.000511,0
88,90,278.426,1.24266,2.25931,529.915,88.1776,1
88,11,43.5869,2.47119,0.14366,259.801,0.000511,0
89,90,298.361,-0.254438,2.7595,318.09,79.2042,1
89,11,34.1693,-1.52332,0.951361,82.0986,0.000511,0
90,90,336.956,-0.746923,-2.22231,435.773,18.0054,0
90,90,493.362,0.467729,1.32161,555.149,86.8112,1
90,11,74.3481,-0.571659,-0.859983,86.8309,0.000511,0
91,90,297.148,0.310685,1.40909,313.73,36.4541,0
91,90,718.743,-0.244812,-1.50115,754.015,142.701,1
91,13,155.127,1.58601,1.64714,394.719,0.10566,0
92,90,297.488,0.234416,-1.27579,319.261,92.0654,0
92,11,79.9181,-0.561951,2.08483,92.8723,0.000511,0
93,90,657.929,-0.481492,-1.36829,773.262,238.137,1
93,11,278.381,-0.25838,-1.0621,287.725,0.000511,0
94,90,265.57,-0.503602,2.51354,307.798,68.9989,0
94,13,62.8803,-1.6984,-0.321525,177.58,0.10566,0
95,90,274.215,-0.399246,1.34502,307.639,82.5336,0
95,13,312.724,0.351544,-1.20996,332.248,0.10566,0
96,90,316.615,0.157664,-0.638971,328.51,71.8414,0
96,13,37.1156,1.42527,2.32203,81.6437,0.10566,0
97,90,285.622,-0.133575,-1.69226,299.903,83.0508,0
97,11,59.7211,1.39575,2.16444,127.972,0.000511,0
98,90,508.117,-0.203794,1.57182,518.705,0.0869771,0
98,90,884.58,-0.831795,-1.17888,1209.05,31.2337,0
98,11,501.001,-0.203782,1.57184,511.439,0.000511,0
99,90,324.151,-1.68025,-3.11094,901.08,43.2967,0
99,13,203.879,-0.771675,-0.147232,267.654,0.10566,0
100,90,374.136,-1.63255,-3.12468,997.599,87.3244,1
100,13,130.36,-0.346307,-0.137502,138.256,0.10566,0
101,90,276.573,-1.48536,-2.8196,648.19,88.9278,1
101,11,29.5278,-1.21469,-0.314376,54.1255,0.000511,0
102,90,312.379,-1.20629,1.53599,574.89,84.8912,1
102,13,42.9946,-0.278828,-1.12733,44.6769,0.10566,0
103,90,269.461,-1.84464,0.212647,879.918,105.433,0
103,13,455.568,1.06433,3.07078,738.896,0.10566,0
104,90,252.043,-0.90781,-1.34082,368.852,64.1467,1
104,13,36.8466,-0.509139,-1.16246,41.7265,0.10566,0
105,90,289.392,-0.505696,1.01466,335.183,72.7637,1
105,90,341.861,-0.625381,-2.17903,410.919,0.000511023,0
105,11,341.861,-0.625381,-2.17903,410.919,0.000511,0
106,90,257.264,1.52909,-0.93844,627.468,87.1604,1
106,13,27.5176,-0.0472225,-2.14028,27.5485,0.10566,0
107,90,277.757,-0.611698,-1.67115,331.459,8.0043,0
107,13,224.098,0.496092,1.47836,252.244,0.10566,0
108,90,263.043,-1.18702,-0.653103,471.169,0.000510984,0
108,90,297.339,-1.05442,2.60257,495.034,126.787,0
108,11,263.043,-1.18702,-0.653103,471.169,0.000511,0
109,90,273.268,0.587676,-1.00937,333.402,87.0768,1
109,11,76.97,1.7532,2.86622,228.842,0.000511,0
110,90,273.418,0.458988,-3.01414,314.63,85.7182,0
110,13,364.53,-0.297281,-0.430072,380.757,0.10566,0
111,90,314.976,-0.365517,0.42695,354.768,113.113,0
111,90,502.624,-0.104406,-2.90572,565.879,254.607,1
111,13,59.276,-0.357619,0.298489,63.1071,0.10566,0
112,90,333.658,-0.00121987,1.57737,333.956,14.1125,0
112,11,153.649,-1.33679,-1.68865,312.636,0.000511,0
113,90,274.285,0.847336,1.43693,389.851,92.2283,1
113,11,203.531,1.05855,-1.08291,328.617,0.000511,0
114,90,694.886,-1.27703,0.839742,1342.81,0.343566,0
114,90,744.014,0.161767,-2.22627,767.382,143.892,0
114,11,614.444,-1.2769,0.83961,1187.24,0.000511,0
115,90,304.859,-0.46344,-1.60761,350.061,90.3969,1
115,11,119.626,1.95647,1.38574,431.591,0.000511,0
116,90,290.302,1.44629,-0.14468,653.507,60.7071,0
116,90,334.872,0.241867,-3.02225,356.6,91.2962,1
116,11,31.4371,1.46185,-0.750835,71.4524,0.000511,0
117,90,250.553,-0.398194,-0.630246,274.046,42.8189,0
117,11,234.989,-1.5035,2.70517,554.544,0.000511,0
118,90,256.333,-1.29498,1.77974,504.266,35.2262,1
118,90,267.303,-1.11435,-1.17751,451.288,10.2603,0
118,11,36.0508,1.1787,-1.61408,64.1314,0.000511,0
119,90,255.885,1.72713,1.50667,742.49,14.2167,1
119,11,52.5338,0.0171674,-1.37692,52.5415,0.000511,0
120,90,377.016,-0.993327,-2.82823,585.89,90.7301,1
120,13,343.176,0.0745451,0.365007,344.13,0.10566,0
121,90,369.665,-1.09144,0.298048,616.913,72.912,1
121,13,218.32,-1.50747,-2.93188,517.067,0.10566,0
122,90,250.221,0.467046,2.62229,278.174,9.50916,0
122,11,160.15,0.690134,-0.50196,199.826,0.000511,0
123,90,294.13,-1.01899,1.27458,460.512,0.000511002,0
123,11,294.13,-1.01899,1.27458,460.512,0.000511,0
124,90,279.105,0.276254,1.44305,293.459,46.049,0
124,11,50.6065,-1.69059,-2.46081,141.878,0.000511,0
125,90,283.909,-1.01588,-0.801045,443.576,10.6082,0
125,11,246.024,-1.02947,-0.802301,388.321,0.000511,0
126,90,311.206,1.16692,-0.195923,554.209,81.029,1
126,13,264.568,-0.328447,2.85069,278.968,0.10566,0
127,90,424.868,0.943814,-3.12961,634.224,84.4896,1
127,11,36.0148,-1.57079,0.261573,90.3666,0.000511,0
128,90,565.73,1.26855,-1.60114,1093.3,131.687,0
128,90,681.424,0.502262,1.82647,769.246,8.72774,0
128,11,678.167,0.50189,1.82686,765.388,0.000511,0
129,90,250.433,0.918203,-0.829641,374.271,88.6064,1
129,90,295.167,0.235476,1.89424,304.348,24.1597,0
129,11,87.5038,-2.42376,-2.81676,497.756,0.000511,0
130,90,349.304,-0.275764,1.45565,363.45,23.796,0
130,11,39.7678,1.17918,0.330517,70.7718,0.000511,0
131,90,260.456,-0.145395,-1.32741,278.445,90.8289,1
131,11,56.9383,-2.14956,1.5569,247.614,0.000511,0
132,90,391.224,-0.768142,2.63463,512.635,14.426,0
132,11,101.601,1.80471,-0.631617,317.132,0.000511,0
133,90,255.608,-0.952533,-0.808019,384.473,54.4115,1
133,90,320.355,0.458827,2.5708,355.031,15.9638,0
133,11,42.8802,-1.00836,-0.83184,66.5911,0.000511,0
134,90,291.747,0.0328281,-2.90449,305.51,90.1558,1
134,11,89.5809,-2.25097,-0.928403,430.09,0.000511,0
135,90,255.14,1.83286,-0.849011,817.955,5.34855,0
135,13,196.964,1.16083,2.27622,345.259,0.10566,0
136,90,310.882,-0.572331,-2.53508,364.101,25.5449,0
136,90,336.043,-0.260846,0.624856,347.65,8.73985,1
136,13,38.6667,0.84987,-0.873733,53.4919,0.10566,0
137,90,259.054,1.57409,-0.591399,652.113,13.2792,0
137,13,172.515,0.0826455,2.30687,173.104,0.10566,0
138,90,427.286,1.68592,1.93158,1195.08,75.3182,0
138,90,463.563,0.874259,-1.1261,652.915,28.4192,1
138,13,85.04,-1.14359,0.536964,146.978,0.10566,0
139,90,318.276,-0.685339,1.9432,408.251,99.2873,0
139,90,713.245,0.884935,-1.49317,1011.57,26.4604,0
139,13,133.086,0.544617,1.29779,153.316,0.10566,0
140,90,261.615,1.09001,1.59082,441.224,84.5783,1
140,13,34.6113,-2.05281,-1.22946,137.029,0.10566,0
141,90,262.931,0.0244176,1.00404,274.499,78.5862,0
141,13,75.5881,-0.994838,-1.83516,116.182,0.10566,0
142,90,286.574,0.0340885,-0.0241319,300.501,89.8927,1
142,11,134.752,1.9773,3.11692,495.996,0.000511,0
143,90,324.272,0.109243,-1.25937,350.981,129.521,1
143,90,330.961,-0.165028,1.52357,335.654,10.8633,0
